Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip	0.085838	1.716765	0.010339	0.000066	0.577787
specbzip_2GHz	0.083654	1.673085	0.014312	0.000075	0.295247
specbzip_DE	0.085838	1.716765	0.010339	0.000066	0.577787
specbzip_DE1	0.090996	1.819919	0.020257	0.000072	0.290951
specbzip_DE2	0.085838	1.716765	0.010339	0.000066	0.577787
spechmmer	0.070205	1.404100	0.006198	0.000170	0.031973
spechmmer_2GHz	0.070205	1.404100	0.006198	0.000170	0.031973
spechmmer_DE	0.068852	1.377044	0.000754	0.000272	0.121264
spechmmer_DE1	0.078031	1.560620	0.019685	0.000360	0.007656
spechmmer_DE2	0.069063	1.381263	0.001336	0.000079	0.144784
speclibm	0.175312	3.506233	0.060972	0.000085	0.999983
speclibm_2GHz	0.174763	3.495270	0.060972	0.000095	0.999940
speclibm_DE	0.175312	3.506233	0.060972	0.000085	0.999983
speclibm_DE1	0.176098	3.521951	0.062151	0.000101	0.973305
speclibm_DE2	0.175312	3.506233	0.060972	0.000085	0.999983
specmcf	0.057835	1.156702	0.003445	0.000027	0.510134
specmcf_2GHz	0.062553	1.251067	0.002062	0.019032	0.067668
specmcf_DE	0.057835	1.156702	0.003445	0.000027	0.510134
specmcf_DE1	0.057835	1.156702	0.003445	0.000027	0.510134
specmcf_DE2	0.057596	1.151928	0.001870	0.000019	0.922244
specsjeng	0.513823	10.276466	0.121831	0.000020	0.999978
specsjeng_2GHz	0.513823	10.276466	0.121831	0.000020	0.999978
specsjeng_DE	0.513970	10.279391	0.121831	0.000019	0.999987
specsjeng_DE1	0.514054	10.281079	0.121908	0.000020	0.998736
specsjeng_DE2	0.513970	10.279391	0.121831	0.000019	0.999987
